Filename,Corpus,<# untagged words>,<# no-rules words>,<# tags>,<# words>,<# tokens>
Chicago - La Quinta Inn & Suites (235)_3337,HotelReviews,100.0,0.0,76,76,159
SF The Presidio Travelodge (304)_3887,HotelReviews,100.0,0.0,149,148,316
NY The Iroquois (300)_4514,HotelReviews,100.0,0.0,93,93,201
SF The Presidio Travelodge (304)_4130,HotelReviews,100.0,0.0,30,29,62
Chicago - La Quinta Inn & Suites (235)_3503,HotelReviews,100.0,0.0,168,164,357
SF The Presidio Travelodge (304)_3935,HotelReviews,100.0,0.0,381,377,794
NY The Iroquois (300)_4759,HotelReviews,100.0,0.0,14,14,33
Chicago The Talbott (309)_2910,HotelReviews,100.0,0.0,88,88,188
Chicago - La Quinta Inn & Suites (235)_3441,HotelReviews,100.0,0.0,242,237,506
Madison DoubleTree (255)_2259,HotelReviews,100.0,0.0,47,47,102
Chicago The Talbott (309)_2909,HotelReviews,100.0,0.0,83,82,174
NY The Iroquois (300)_4611,HotelReviews,100.0,0.0,124,123,258
Chicago Radisson Blu Aqua (330)_3042,HotelReviews,100.0,0.0,613,591,1295
NY The Surrey (300)_4887,HotelReviews,100.0,0.0,193,193,411
Chicago The Talbott (309)_2892,HotelReviews,100.0,0.0,103,103,216
Chicago The Talbott (309)_2779,HotelReviews,100.0,0.0,187,187,396
NY The Surrey (300)_4932,HotelReviews,100.0,0.0,95,95,205
SF Renaissance Stanford Court (306)_4313,HotelReviews,100.0,0.0,140,139,303
Chicago Radisson Blu Aqua (330)_3065,HotelReviews,100.0,0.0,119,117,248
SF  The Chancellor (303)_3775,HotelReviews,100.0,0.0,83,83,180
Chicago - La Quinta Inn & Suites (235)_3388,HotelReviews,100.0,0.0,242,240,509
Madison DoubleTree (255)_2162,HotelReviews,100.0,0.0,33,31,70
Madison HotelRED (69)_2637,HotelReviews,100.0,0.0,99,99,214
Madison Concourse Hotel (337)_2290,HotelReviews,100.0,0.0,1929,1894,4114
SF  The Chancellor (303)_3680,HotelReviews,100.0,0.0,275,275,567
NY TRYP by Windham Times Square (200)_5244,HotelReviews,100.0,0.0,114,111,241
Chicago - La Quinta Inn & Suites (235)_3478,HotelReviews,100.0,0.0,101,100,217
SF The Presidio Travelodge (304)_3959,HotelReviews,100.0,0.0,94,92,200
NY The Iroquois (300)_4513,HotelReviews,100.0,0.0,66,66,144
Madison DoubleTree (255)_2070,HotelReviews,100.0,0.0,59,59,126
Chicago The Talbott (309)_2683,HotelReviews,100.0,0.0,88,88,194
Chicago The Talbott (309)_2713,HotelReviews,100.0,0.0,195,194,406
NY The Iroquois (300)_4568,HotelReviews,100.0,0.0,124,122,257
NY TRYP by Windham Times Square (200)_5245,HotelReviews,100.0,0.0,301,299,626
Chicago The Talbott (309)_2830,HotelReviews,100.0,0.0,129,128,278
Madison DoubleTree (255)_2069,HotelReviews,100.0,0.0,89,88,187
Madison DoubleTree (255)_2248,HotelReviews,100.0,0.0,62,61,134
NY The Iroquois (300)_4600,HotelReviews,100.0,0.0,182,179,382
NY The Iroquois (300)_4623,HotelReviews,100.0,0.0,119,112,253
SF The Presidio Travelodge (304)_4051,HotelReviews,100.0,0.0,106,105,220
NY The Surrey (300)_5009,HotelReviews,100.0,0.0,57,57,123
Madison HotelRED (69)_2658,HotelReviews,100.0,0.0,344,338,726
Chicago - La Quinta Inn & Suites (235)_3485,HotelReviews,100.0,0.0,139,134,313
Madison DoubleTree (255)_2188,HotelReviews,100.0,0.0,168,165,348
SF The Presidio Travelodge (304)_3988,HotelReviews,100.0,0.0,21,21,49
SF Renaissance Stanford Court (306)_4237,HotelReviews,100.0,0.0,110,109,229
SF Renaissance Stanford Court (306)_4253,HotelReviews,100.0,0.0,149,148,314
NY The Iroquois (300)_4706,HotelReviews,100.0,0.0,53,53,113
NY The Surrey (300)_5036,HotelReviews,100.0,0.0,196,195,410
Chicago Radisson Blu Aqua (330)_3207,HotelReviews,100.0,0.0,161,157,339
Madison Concourse Hotel (337)_2478,HotelReviews,100.0,0.0,318,312,676
NY The Surrey (300)_4899,HotelReviews,100.0,0.0,94,94,200
SF  The Chancellor (303)_3575,HotelReviews,100.0,0.0,40,39,84
Chicago Radisson Blu Aqua (330)_3052,HotelReviews,100.0,0.0,51,50,114
Chicago Radisson Blu Aqua (330)_3194,HotelReviews,100.0,0.0,82,82,171
Chicago - La Quinta Inn & Suites (235)_3353,HotelReviews,100.0,0.0,110,110,231
Madison DoubleTree (255)_2230,HotelReviews,100.0,0.0,235,230,507
Madison Concourse Hotel (337)_2435,HotelReviews,100.0,0.0,231,225,489
Chicago Radisson Blu Aqua (330)_3242,HotelReviews,100.0,0.0,197,196,413
SF The Presidio Travelodge (304)_4052,HotelReviews,100.0,0.0,90,90,189
SF The Presidio Travelodge (304)_3904,HotelReviews,100.0,0.0,376,371,810
SF The Presidio Travelodge (304)_3982,HotelReviews,100.0,0.0,77,77,163
Madison DoubleTree (255)_2034,HotelReviews,100.0,0.0,58,58,121
Madison Concourse Hotel (337)_2284,HotelReviews,100.0,0.0,86,86,182
Madison Concourse Hotel (337)_2389,HotelReviews,100.0,0.0,108,108,226
NY The Surrey (300)_4821,HotelReviews,100.0,0.0,115,114,244
